City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sault ste. marie,46.5168,-84.3333,18.16,90,75,6.17,CA,1693013473
1,puerto natales,-51.7236,-72.4875,-0.27,92,60,2.16,CL,1693013474
2,shingu,33.7333,135.9833,28.98,71,8,3.96,JP,1693013475
3,richards bay,-28.783,32.0377,19.57,76,0,4.83,ZA,1693013476
4,rehoboth,-23.3167,17.0833,7.07,36,100,3.28,NA,1693013410
5,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,82,100,2.0,RU,1693013381
6,castillos,-34.1667,-53.8333,5.3,75,0,3.24,UY,1693013480
7,aasiaat,68.7098,-52.8699,2.89,93,100,5.5,GL,1693013482
8,nyandoma,61.669,40.1991,7.41,86,100,1.95,RU,1693013483
9,wynyard,-41.0,145.7167,11.27,54,87,2.95,AU,1693013484
10,port-aux-francais,-49.35,70.2167,3.09,77,81,12.64,TF,1693013485
11,chernyshevskiy,63.0128,112.4714,20.86,53,8,1.56,RU,1693013487
12,grytviken,-54.2811,-36.5092,-3.34,94,100,2.77,GS,1693013488
13,nar'yan-mar,67.6713,53.087,6.07,85,100,5.85,RU,1693013489
14,adamstown,-25.066,-130.1015,19.15,61,10,6.77,PN,1693013490
15,bredasdorp,-34.5322,20.0403,8.84,76,83,7.95,ZA,1693013492
16,kuhmo,64.1333,29.5167,9.38,83,60,1.0,FI,1693013495
17,bethel,41.3712,-73.414,23.05,88,100,0.0,US,1693013384
18,afaahiti,-17.75,-149.2833,27.93,84,45,6.71,PF,1693013497
19,cole harbour,44.6724,-63.4751,18.99,92,98,3.09,CA,1693013499
20,xi'an,34.2583,108.9286,19.45,97,100,2.96,CN,1693013257
21,pacific grove,36.6177,-121.9166,21.79,83,100,3.09,US,1693013501
22,carnarvon,-24.8667,113.6333,23.43,39,0,4.51,AU,1693013502
23,kununurra,-15.7667,128.7333,28.99,17,0,9.26,AU,1693013503
24,ilulissat,69.2167,-51.1,6.01,87,75,0.51,GL,1693013504
25,chibougamau,49.9168,-74.3659,16.79,77,100,1.03,CA,1693013506
26,iskateley,67.6803,53.1512,6.02,86,100,5.79,RU,1693013507
27,kone,-21.0595,164.8658,25.25,43,8,4.79,NC,1693013508
28,kapuskasing,49.4169,-82.4331,11.05,93,75,2.06,CA,1693013509
29,nova sintra,14.8667,-24.7167,23.97,75,84,1.45,CV,1693013510
30,invercargill,-46.4,168.35,8.05,89,95,5.35,NZ,1693013511
31,jaumave,23.4167,-99.3833,21.62,92,100,1.41,MX,1693013513
32,sodankyla,67.4167,26.6,10.14,87,100,0.56,FI,1693013514
33,edinburgh of the seven seas,-37.0676,-12.3116,14.8,91,100,14.31,SH,1693013515
34,luderitz,-26.6481,15.1594,12.66,76,0,7.96,NA,1693013517
35,albany,42.6001,-73.9662,22.58,92,94,0.76,US,1693013451
36,georgetown,5.4112,100.3354,28.96,83,20,1.54,MY,1693013519
37,olonkinbyen,70.9221,-8.7187,5.6,98,30,8.18,SJ,1693013520
